"filename", "language", "C#", "comment", "blank", "total"
"d:\printing\universal-ui\scripts\animate.script", "C#", 7, 0, 1, 8
"d:\printing\universal-ui\scripts\callBacks.script", "C#", 29, 3, 3, 35
"d:\printing\universal-ui\scripts\connect.script", "C#", 113, 34, 7, 154
"d:\printing\universal-ui\scripts\console.script", "C#", 5, 2, 1, 8
"d:\printing\universal-ui\scripts\controlBar.script", "C#", 112, 19, 10, 141
"d:\printing\universal-ui\scripts\doCallback.script", "C#", 8, 1, 1, 10
"d:\printing\universal-ui\scripts\error.script", "C#", 1, 1, 1, 3
"d:\printing\universal-ui\scripts\fileBrowser.script", "C#", 222, 37, 24, 283
"d:\printing\universal-ui\scripts\idexMode.script", "C#", 62, 7, 13, 82
"d:\printing\universal-ui\scripts\keypad.script", "C#", 91, 4, 7, 102
"d:\printing\universal-ui\scripts\keypad2.script", "C#", 8, 4, 3, 15
"d:\printing\universal-ui\scripts\levelBed.script", "C#", 76, 12, 13, 101
"d:\printing\universal-ui\scripts\loadFilament.script", "C#", 67, 10, 10, 87
"d:\printing\universal-ui\scripts\main.script", "C#", 17, 3, 1, 21
"d:\printing\universal-ui\scripts\main.updateState.script", "C#", 61, 7, 1, 69
"d:\printing\universal-ui\scripts\move.script", "C#", 138, 17, 20, 175
"d:\printing\universal-ui\scripts\pagePreInit.script", "C#", 17, 4, 0, 21
"d:\printing\universal-ui\scripts\parseCommon.script", "C#", 74, 21, 8, 103
"d:\printing\universal-ui\scripts\parseFan.script", "C#", 0, 0, 1, 1
"d:\printing\universal-ui\scripts\parseFirmware.script", "C#", 12, 3, 1, 16
"d:\printing\universal-ui\scripts\parsePosition.script", "C#", 12, 2, 2, 16
"d:\printing\universal-ui\scripts\parsePrintSettings.script", "C#", 18, 53, 8, 79
"d:\printing\universal-ui\scripts\parseSDPrint.script", "C#", 48, 7, 6, 61
"d:\printing\universal-ui\scripts\parseSettings.script", "C#", 44, 13, 7, 64
"d:\printing\universal-ui\scripts\parseTemp.script", "C#", 24, 10, 4, 38
"d:\printing\universal-ui\scripts\parser.script", "C#", 20, 15, 1, 36
"d:\printing\universal-ui\scripts\pidTune.script", "C#", 127, 16, 12, 155
"d:\printing\universal-ui\scripts\preheat.script", "C#", 160, 29, 22, 211
"d:\printing\universal-ui\scripts\print.script", "C#", 118, 20, 5, 143
"d:\printing\universal-ui\scripts\printSettings.script", "C#", 136, 26, 9, 171
"d:\printing\universal-ui\scripts\printerCommands.script", "C#", 84, 48, 13, 145
"d:\printing\universal-ui\scripts\program.script", "C#", 12, 1, 1, 14
"d:\printing\universal-ui\scripts\read.script", "C#", 40, 5, 0, 45
"d:\printing\universal-ui\scripts\scratch.script", "C#", 58, 7, 1, 66
"d:\printing\universal-ui\scripts\send.script", "C#", 64, 11, 1, 76
"d:\printing\universal-ui\scripts\settings.script", "C#", 113, 16, 21, 150
"d:\printing\universal-ui\scripts\shutdown.script", "C#", 27, 3, 4, 34
"d:\printing\universal-ui\scripts\tools.script", "C#", 12, 3, 2, 17
"d:\printing\universal-ui\scripts\updateConsole.script", "C#", 1, 0, 0, 1
"d:\printing\universal-ui\scripts\updateLines.script", "C#", 16, 1, 2, 19
"Total", "-", 2254, 475, 247, 2976
